epoch,train_total,train_nll,val_total,val_nll
1,1.301843285560608,1.2997462749481201,1.2030534744262695,1.2009598016738892
2,1.076511688530445,1.0744209252297878,0.8927268832921982,0.8906392902135849
3,0.6060521733015776,0.6039669867604971,0.17374927178025246,0.17166638746857643
4,-0.46728382736910135,-0.4693664114456624,-1.3569762706756592,-1.3590599298477173
5,-2.1930467188358307,-2.195132665336132,-2.724107325077057,-2.7261961102485657
6,-2.750822976231575,-2.752910792827606,-2.820971429347992,-2.8230575919151306
7,-2.9081679731607437,-2.9102533608675003,-2.9730842113494873,-2.9751694202423096
8,-3.0057013481855392,-3.007786899805069,-3.0519943833351135,-3.0540807843208313
9,-3.0425427705049515,-3.0446297079324722,-3.030551791191101,-3.0326393842697144
10,-3.043290302157402,-3.0453782826662064,-3.080372154712677,-3.0824607014656067
11,-3.1098550111055374,-3.111944317817688,-3.1514763832092285,-3.153566837310791
12,-3.1197102665901184,-3.121801719069481,-3.1976411938667297,-3.199733793735504
13,-3.161183938384056,-3.163277268409729,-3.2128559350967407,-3.214950442314148
14,-3.198968768119812,-3.2010644674301147,-3.0623783469200134,-3.0644754767417908
15,-3.1566429436206818,-3.1587405651807785,-3.2220380902290344,-3.2241364121437073
16,-3.2486312836408615,-3.2507309913635254,-3.2329723834991455,-3.2350735664367676
17,-3.194039449095726,-3.196141690015793,-3.0083871483802795,-3.0104900002479553
18,-3.1634811758995056,-3.1655841767787933,-3.2655822038650513,-3.2676857709884644
19,-3.2713898420333862,-3.2734947353601456,-3.2498826384544373,-3.2519890666007996
20,-3.2667969465255737,-3.268904447555542,-3.2311617136001587,-3.233270287513733
21,-3.3093707263469696,-3.3114805072546005,-3.2899956107139587,-3.292106807231903
22,-3.32144732773304,-3.3235596269369125,-3.285479247570038,-3.2875930666923523
23,-3.284223899245262,-3.2863389402627945,-3.1940258145332336,-3.19614177942276
24,-3.255707710981369,-3.2578240036964417,-3.244487702846527,-3.24660462141037
25,-3.229346737265587,-3.2314642667770386,-3.300733983516693,-3.3028520941734314
26,-3.2902434915304184,-3.2923624366521835,-3.280538260936737,-3.282658278942108
27,-3.364047348499298,-3.3661683797836304,-3.2799617052078247,-3.282084107398987
28,-3.374979168176651,-3.377102851867676,-3.3321895003318787,-3.33431476354599
29,-3.403745859861374,-3.405872255563736,-3.4069175124168396,-3.409045398235321
30,-3.389168009161949,-3.3912971913814545,-3.2574856281280518,-3.2596161365509033
31,-3.4211248606443405,-3.423256367444992,-3.4819212555885315,-3.484054148197174
32,-3.378569096326828,-3.3807032108306885,-3.4700374603271484,-3.472172498703003
33,-3.4916363060474396,-3.4937725514173508,-3.4832650423049927,-3.4854027032852173
34,-3.497845411300659,-3.499984622001648,-3.5154189467430115,-3.5175597071647644
35,-3.5255041867494583,-3.527646631002426,-3.421249747276306,-3.4233938455581665
36,-3.457397535443306,-3.4595424830913544,-3.366348624229431,-3.368494391441345
37,-3.4988481402397156,-3.5009947568178177,-3.4882158041000366,-3.4903634786605835
38,-3.4784747809171677,-3.4806235432624817,-3.347716748714447,-3.3498663306236267
39,-3.4902984648942947,-3.492448404431343,-3.553663194179535,-3.55581396818161
40,-3.5762863904237747,-3.5784384459257126,-3.651836097240448,-3.6539897322654724
41,-3.638865187764168,-3.641020193696022,-3.553202211856842,-3.5553589463233948
42,-3.482693091034889,-3.484850123524666,-3.5664020776748657,-3.5685590505599976
43,-3.5921256989240646,-3.5942834317684174,-3.6478866934776306,-3.6500455737113953
44,-3.5781304091215134,-3.5802905410528183,-3.494215667247772,-3.496376693248749
45,-3.4518938213586807,-3.4540542513132095,-3.3466318249702454,-3.3487916588783264
46,-3.5603290498256683,-3.5624891221523285,-3.4831002950668335,-3.485261082649231
47,-3.577496573328972,-3.579657882452011,-3.678008198738098,-3.680169939994812
48,-3.597139522433281,-3.5993016958236694,-3.4653759002685547,-3.467538595199585
49,-3.573894217610359,-3.5760572105646133,-3.6614445447921753,-3.663607954978943
50,-3.5252303034067154,-3.527393728494644,-3.510053336620331,-3.5122167468070984
51,-3.6619106382131577,-3.6640747785568237,-3.6649052500724792,-3.6670705676078796
52,-3.6769911348819733,-3.679157555103302,-3.685531198978424,-3.6876986622810364
53,-3.6346254497766495,-3.636793687939644,-3.7194371223449707,-3.7216060161590576
54,-3.665827587246895,-3.6679972261190414,-3.687085270881653,-3.6892558336257935
55,-3.6702593564987183,-3.6724308729171753,-3.6612170338630676,-3.663389503955841
56,-3.6522750705480576,-3.654447838664055,-3.6210543513298035,-3.623227536678314
57,-3.619487538933754,-3.6216613799333572,-3.70418918132782,-3.706363558769226
58,-3.6912974417209625,-3.6934721916913986,-3.6626503467559814,-3.664825677871704
59,-3.577484667301178,-3.579660102725029,-3.5533119440078735,-3.555487036705017
60,-3.6721605956554413,-3.6743359565734863,-3.7107284665107727,-3.7129042744636536
61,-3.688351631164551,-3.6905280500650406,-3.723909080028534,-3.7260860800743103
62,-3.6882566660642624,-3.6904342621564865,-3.648340940475464,-3.6505188941955566
63,-3.645598515868187,-3.647776648402214,-3.4789077043533325,-3.4810858964920044
64,-3.59767784178257,-3.599855989217758,-3.5727227330207825,-3.5749006867408752
65,-3.6601970940828323,-3.6623751521110535,-3.6905227303504944,-3.6927011609077454
66,-3.661957710981369,-3.6641363352537155,-3.5450649857521057,-3.547243893146515
67,-3.5536081790924072,-3.5557871609926224,-3.539179801940918,-3.541358470916748
68,-3.6067620664834976,-3.608940750360489,-3.695753514766693,-3.6979324221611023
69,-3.6528146862983704,-3.654993921518326,-3.7315033078193665,-3.733682930469513
70,-3.6712098866701126,-3.6733902245759964,-3.707200765609741,-3.709381580352783
71,-3.707841470837593,-3.7100227177143097,-3.7365888953208923,-3.73877090215683
72,-3.693470999598503,-3.695653736591339,-3.654071271419525,-3.6562547087669373
73,-3.6616387963294983,-3.6638225615024567,-3.5499171018600464,-3.552101254463196
74,-3.5465959906578064,-3.5487800389528275,-3.475127637386322,-3.4773113131523132
75,-3.579193741083145,-3.5813772827386856,-3.5583049654960632,-3.5604886412620544
76,-3.6878916323184967,-3.690075993537903,-3.6607839465141296,-3.6629690527915955
77,-3.7038495540618896,-3.706034928560257,-3.7235947251319885,-3.7257805466651917
78,-3.688115268945694,-3.6903017461299896,-3.6686413884162903,-3.67082816362381
79,-3.619856670498848,-3.6220432221889496,-3.5327295064926147,-3.534915804862976
80,-3.652168869972229,-3.654355213046074,-3.730183482170105,-3.7323700189590454
