epoch,train_member_mean_nll,val_member_mean_nll,train_member_0_nll,train_member_1_nll,train_member_2_nll,train_member_3_nll,train_member_4_nll,val_member_0_nll,val_member_1_nll,val_member_2_nll,val_member_3_nll,val_member_4_nll
1,1.306754319369793,1.2058681488037108,1.2883182615041733,1.2827720791101456,1.3805231675505638,1.2990871742367744,1.2830709144473076,1.1861214637756348,1.1887116432189941,1.2836201190948486,1.2073304653167725,1.1635570526123047
2,1.0753988757729531,0.8779929637908935,1.0585868619382381,1.0637287013232708,1.155793134123087,1.0830526873469353,1.015832994133234,0.8659344911575317,0.8794011473655701,0.9645042419433594,0.9003008008003235,0.7798241376876831
3,0.5756311679258943,0.10420607030391693,0.5816997336223722,0.5848140865564346,0.6652447246015072,0.6108477376401424,0.4355495572090149,0.1358344852924347,0.13602209091186523,0.2039416879415512,0.17678430676460266,-0.13155221939086914
4,-0.5661951488116757,-1.5376434087753297,-0.4854709128267132,-0.5416320883086883,-0.4679914496373385,-0.4616961837746203,-0.8741851095110178,-1.4109429121017456,-1.4903907775878906,-1.4127240180969238,-1.3645272254943848,-2.009632110595703
5,-2.2168265879154205,-2.823363256454468,-2.093619331717491,-2.2575633078813553,-2.1726299300789833,-2.1256227120757103,-2.4346976578235626,-2.8436191082000732,-2.867906093597412,-2.7519378662109375,-2.761600971221924,-2.891752243041992
6,-2.7912208050489427,-3.0029701232910155,-2.7326150983572006,-2.802750587463379,-2.8061159402132034,-2.7662950605154037,-2.848327338695526,-2.9985523223876953,-3.0108964443206787,-3.09342098236084,-2.8416359424591064,-3.070344924926758
7,-2.9252489477396013,-3.092705726623535,-2.8103089183568954,-2.993067368865013,-2.9424634128808975,-2.952807679772377,-2.9275973588228226,-3.001415729522705,-3.100165367126465,-3.041677474975586,-3.1327991485595703,-3.1874709129333496
8,-2.9898198664188387,-3.1645475387573243,-2.934320032596588,-2.9841158390045166,-2.982791632413864,-3.049982875585556,-2.9978889524936676,-3.141408920288086,-3.06021785736084,-3.1761398315429688,-3.232567548751831,-3.2124035358428955
9,-3.066703498363495,-3.221005010604858,-2.995305448770523,-3.1116198152303696,-3.117245450615883,-3.0913057923316956,-3.0180409848690033,-3.126859664916992,-3.2679972648620605,-3.1729252338409424,-3.2538061141967773,-3.2834367752075195
10,-3.089672628045082,-3.188228893280029,-3.01789852976799,-3.14570289850235,-3.1064313799142838,-3.1223410815000534,-3.0559892505407333,-3.184514045715332,-3.236800193786621,-3.3197264671325684,-3.1728081703186035,-3.0272955894470215
11,-3.1037272453308105,-3.273528528213501,-2.995928779244423,-3.165278449654579,-3.1551730781793594,-3.116838753223419,-3.085417166352272,-3.2174408435821533,-3.32161021232605,-3.3170218467712402,-3.2350258827209473,-3.2765438556671143
12,-3.127347540855408,-3.292115879058838,-3.0625374913215637,-3.148549497127533,-3.1984051167964935,-3.129074811935425,-3.0981707870960236,-3.2635929584503174,-3.317513942718506,-3.2775473594665527,-3.2953684329986572,-3.3065567016601562
13,-3.1410675078630446,-3.3196205615997316,-3.0579094290733337,-3.2170191407203674,-3.174542158842087,-3.164462685585022,-3.0914041250944138,-3.2676331996917725,-3.350498914718628,-3.367274284362793,-3.3144471645355225,-3.2982492446899414
14,-3.1625747203826906,-3.2729226112365724,-3.0834347903728485,-3.233879402279854,-3.1947024911642075,-3.1850677132606506,-3.1157892048358917,-3.3044943809509277,-3.3397581577301025,-3.0537798404693604,-3.3113481998443604,-3.3552324771881104
15,-3.1561228692531587,-3.281418561935425,-3.073290392756462,-3.260230705142021,-3.154254838824272,-3.1493183821439743,-3.143520027399063,-3.3229928016662598,-3.2282423973083496,-3.3045198917388916,-3.1839020252227783,-3.3674356937408447
16,-3.176253116130829,-3.2598236560821534,-3.099394738674164,-3.2638577222824097,-3.196415141224861,-3.2146512418985367,-3.106946736574173,-3.2354025840759277,-3.2677509784698486,-3.2398505210876465,-3.3706483840942383,-3.1854658126831055
17,-3.188155695796013,-3.322560691833496,-3.1376811116933823,-3.2708341032266617,-3.2626335471868515,-3.2107112258672714,-3.0589184910058975,-3.3409860134124756,-3.398324966430664,-3.370640516281128,-3.317479133605957,-3.185372829437256
18,-3.168285548686981,-3.2759822368621827,-3.130007266998291,-3.271281212568283,-3.2573503106832504,-3.0915337651968002,-3.0912551879882812,-3.3551225662231445,-3.3256399631500244,-3.351067543029785,-3.059929847717285,-3.288151264190674
19,-3.188305824995041,-3.371309185028076,-3.1657366901636124,-3.3084923774003983,-3.2965354174375534,-3.024301126599312,-3.1464635133743286,-3.3495779037475586,-3.361490249633789,-3.3972973823547363,-3.3761425018310547,-3.372037887573242
20,-3.208082285523415,-3.288927173614502,-3.1132217049598694,-3.2743532061576843,-3.280641034245491,-3.1862635016441345,-3.185931980609894,-3.2904348373413086,-3.2349185943603516,-3.1668190956115723,-3.315760612487793,-3.4367027282714844
21,-3.215639978647232,-3.3972031116485595,-3.111381009221077,-3.254856437444687,-3.2760812044143677,-3.2254777252674103,-3.2104035168886185,-3.3359878063201904,-3.4285194873809814,-3.411363363265991,-3.397946834564209,-3.412198066711426
22,-3.2430749893188477,-3.40390944480896,-3.1585905104875565,-3.2671236395835876,-3.3138709664344788,-3.252738296985626,-3.223051533102989,-3.3765926361083984,-3.327113151550293,-3.424555778503418,-3.4489681720733643,-3.442317485809326
23,-3.2072453439235686,-3.3791114330291747,-3.1986314058303833,-3.1811719834804535,-3.2638624012470245,-3.2434206008911133,-3.149140328168869,-3.393425941467285,-3.4098381996154785,-3.4175920486450195,-3.4201481342315674,-3.2545528411865234
24,-3.211677613854408,-3.3864925861358643,-3.128739058971405,-3.3008846640586853,-3.319427326321602,-3.227731481194496,-3.081605538725853,-3.358693838119507,-3.4926183223724365,-3.493778705596924,-3.373074531555176,-3.2142975330352783
25,-3.2659805089235308,-3.468271017074585,-3.1843039244413376,-3.3619783371686935,-3.3152370005846024,-3.2442046254873276,-3.224178656935692,-3.3797643184661865,-3.51102352142334,-3.4853620529174805,-3.4791088104248047,-3.4860963821411133
26,-3.299996814131737,-3.382344675064087,-3.187112271785736,-3.41031177341938,-3.346849024295807,-3.286145120859146,-3.2695658802986145,-3.3774147033691406,-3.447953701019287,-3.192171335220337,-3.458475112915039,-3.435708522796631
27,-3.307819738984108,-3.420620059967041,-3.227612853050232,-3.360244959592819,-3.3135994523763657,-3.3582107424736023,-3.2794306874275208,-3.4258203506469727,-3.4600443840026855,-3.3437767028808594,-3.376269817352295,-3.4971890449523926
28,-3.352462795376778,-3.516833209991455,-3.2628244906663895,-3.4184987545013428,-3.373619318008423,-3.3751131296157837,-3.3322582840919495,-3.4493675231933594,-3.501223087310791,-3.472578525543213,-3.574655055999756,-3.5863418579101562
29,-3.348498260974884,-3.475585603713989,-3.2749541848897934,-3.455789193511009,-3.2748992890119553,-3.3944858610630035,-3.3423627763986588,-3.4984488487243652,-3.5701513290405273,-3.253077268600464,-3.5472829341888428,-3.508967638015747
30,-3.3324778974056244,-3.5391703605651856,-3.2233615070581436,-3.4051380902528763,-3.3217411637306213,-3.4007954448461533,-3.3113532811403275,-3.4690446853637695,-3.5985453128814697,-3.401705741882324,-3.6022868156433105,-3.6242692470550537
31,-3.3764298766851426,-3.5213449001312256,-3.265660062432289,-3.4712660759687424,-3.373315066099167,-3.4020106345415115,-3.3698975443840027,-3.4898531436920166,-3.356473922729492,-3.5420289039611816,-3.6019182205200195,-3.616450309753418
32,-3.408078932762146,-3.551540756225586,-3.311166927218437,-3.3797608464956284,-3.43781016767025,-3.4903640002012253,-3.421292722225189,-3.5344955921173096,-3.5017666816711426,-3.5042505264282227,-3.5574162006378174,-3.6597747802734375
33,-3.422468823194504,-3.590154504776001,-3.3574520349502563,-3.4241630136966705,-3.4168593883514404,-3.5024971961975098,-3.411372482776642,-3.5143089294433594,-3.6316521167755127,-3.5594139099121094,-3.6357126235961914,-3.609684944152832
34,-3.4246730357408524,-3.582685422897339,-3.345145672559738,-3.5223406702280045,-3.3761944323778152,-3.459632381796837,-3.420052021741867,-3.559235095977783,-3.667747974395752,-3.496727705001831,-3.7244653701782227,-3.4652509689331055
35,-3.4357453107833864,-3.5933487892150877,-3.3788925260305405,-3.5847088545560837,-3.417260780930519,-3.451529234647751,-3.346335157752037,-3.508194923400879,-3.702648401260376,-3.512042760848999,-3.6286959648132324,-3.615161895751953
36,-3.435230976343155,-3.5760655403137207,-3.3814133256673813,-3.5772476196289062,-3.4451621025800705,-3.452772870659828,-3.3195589631795883,-3.6184470653533936,-3.6084957122802734,-3.5834150314331055,-3.7284088134765625,-3.3415610790252686
37,-3.502914643287659,-3.6619218826293944,-3.441184014081955,-3.5730770379304886,-3.5018210411071777,-3.5687156170606613,-3.429775506258011,-3.5555756092071533,-3.6274304389953613,-3.6459412574768066,-3.7522599697113037,-3.7284021377563477
38,-3.5165220111608506,-3.5508288383483886,-3.4526270627975464,-3.5972757786512375,-3.529646173119545,-3.505673423409462,-3.497387617826462,-3.361029624938965,-3.713315010070801,-3.478628158569336,-3.431734323501587,-3.769437074661255
39,-3.4868239760398865,-3.687462091445923,-3.379115656018257,-3.5617267042398453,-3.492892310023308,-3.4910124242305756,-3.5093727856874466,-3.6792232990264893,-3.631366491317749,-3.6542181968688965,-3.725748062133789,-3.7467544078826904
40,-3.5156506061553956,-3.6342751502990724,-3.462162956595421,-3.5502827167510986,-3.568267285823822,-3.460397943854332,-3.537142127752304,-3.6471595764160156,-3.605994701385498,-3.4453768730163574,-3.7567152976989746,-3.7161293029785156
41,-3.4943086057901382,-3.677131748199463,-3.4218298494815826,-3.6053849309682846,-3.4257811903953552,-3.537609040737152,-3.4809380173683167,-3.419079065322876,-3.7901318073272705,-3.6914539337158203,-3.768296003341675,-3.716697931289673
42,-3.5530996322631836,-3.724988269805908,-3.4473117291927338,-3.655100718140602,-3.5432469844818115,-3.6003674119710922,-3.5194713175296783,-3.627497434616089,-3.81131649017334,-3.6753172874450684,-3.792829751968384,-3.71798038482666
43,-3.5729314148426057,-3.7384095191955566,-3.507240042090416,-3.652236580848694,-3.577970325946808,-3.615568295121193,-3.5116418302059174,-3.7255327701568604,-3.7137017250061035,-3.7507102489471436,-3.7371678352355957,-3.76493501663208
44,-3.535856357216835,-3.6180487155914305,-3.4393251687288284,-3.579965189099312,-3.546878531575203,-3.6077530533075333,-3.5053598433732986,-3.582777261734009,-3.708286762237549,-3.7494375705718994,-3.4194953441619873,-3.630246639251709
45,-3.546421119570732,-3.6995859146118164,-3.5161262154579163,-3.6167222559452057,-3.575175240635872,-3.4989679008722305,-3.525113984942436,-3.712972402572632,-3.799813747406006,-3.51442289352417,-3.678189516067505,-3.7925310134887695
46,-3.5682896256446837,-3.717333126068115,-3.561816468834877,-3.674079790711403,-3.5455655455589294,-3.5176779329776764,-3.5423083901405334,-3.7083957195281982,-3.791192054748535,-3.622178554534912,-3.7743849754333496,-3.690514326095581
47,-3.505400151014328,-3.6996817588806152,-3.5254593789577484,-3.632406547665596,-3.4151435792446136,-3.5801350325345993,-3.3738562166690826,-3.7525010108947754,-3.786341905593872,-3.684739112854004,-3.7549755573272705,-3.5198512077331543
48,-3.520149502158165,-3.728168249130249,-3.4708084166049957,-3.6050655096769333,-3.520227611064911,-3.5295743346214294,-3.4750716388225555,-3.6836581230163574,-3.8073644638061523,-3.704791784286499,-3.7977256774902344,-3.647301197052002
49,-3.534929871559143,-3.5872456073760985,-3.5060033202171326,-3.585807055234909,-3.629672273993492,-3.602629840373993,-3.3505368679761887,-3.640498399734497,-3.720864772796631,-3.239805221557617,-3.7322933673858643,-3.602766275405884
50,-3.552494299411774,-3.7244725704193113,-3.556711569428444,-3.6401769667863846,-3.572373405098915,-3.5415716022253036,-3.451637953519821,-3.682312488555908,-3.646759033203125,-3.771773338317871,-3.8075013160705566,-3.7140166759490967
51,-3.588490825891495,-3.67362642288208,-3.537650167942047,-3.620803639292717,-3.622807577252388,-3.606502652168274,-3.5546900928020477,-3.695629358291626,-3.6362452507019043,-3.784942150115967,-3.55283260345459,-3.6984827518463135
52,-3.536530962586403,-3.7068479537963865,-3.468321993947029,-3.5802681148052216,-3.6058465987443924,-3.498571455478668,-3.529646649956703,-3.7612407207489014,-3.778067111968994,-3.790863513946533,-3.6835219860076904,-3.5205464363098145
53,-3.552257141470909,-3.6467129230499267,-3.4989467561244965,-3.566638305783272,-3.6807392686605453,-3.556619703769684,-3.458341673016548,-3.3454749584198,-3.6985785961151123,-3.8110337257385254,-3.686069965362549,-3.6924073696136475
54,-3.5883700966835024,-3.738762950897217,-3.5050800442695618,-3.6058787405490875,-3.6770459711551666,-3.6329118460416794,-3.5209338814020157,-3.6912031173706055,-3.7244865894317627,-3.8001790046691895,-3.7768521308898926,-3.701093912124634
55,-3.5959763675928116,-3.7079572677612305,-3.5466621816158295,-3.6560483425855637,-3.6647262424230576,-3.6364088505506516,-3.4760362207889557,-3.6515750885009766,-3.838074207305908,-3.7416467666625977,-3.7606148719787598,-3.54787540435791
56,-3.5759883493185045,-3.7532217025756838,-3.5375269800424576,-3.6469263285398483,-3.5460632294416428,-3.605471059679985,-3.543954148888588,-3.779958724975586,-3.726724863052368,-3.685244560241699,-3.7939929962158203,-3.7801873683929443
57,-3.576732102036476,-3.735923433303833,-3.532433658838272,-3.6108988225460052,-3.6584007292985916,-3.662555083632469,-3.4193722158670425,-3.765408754348755,-3.7348005771636963,-3.6930575370788574,-3.7991995811462402,-3.687150716781616
58,-3.582450693845749,-3.747225284576416,-3.6022968888282776,-3.621377468109131,-3.6025511622428894,-3.6311686486005783,-3.4548593014478683,-3.74941349029541,-3.648604393005371,-3.757192611694336,-3.808199882507324,-3.7727160453796387
59,-3.581249642372131,-3.638315200805664,-3.4906599521636963,-3.580172210931778,-3.6502728313207626,-3.6125563830137253,-3.5725868344306946,-3.380141019821167,-3.541532039642334,-3.7618706226348877,-3.686875820159912,-3.8211565017700195
60,-3.562815138697624,-3.689120626449585,-3.5029412508010864,-3.5737342089414597,-3.6652167290449142,-3.561713844537735,-3.5104696601629257,-3.7913436889648438,-3.5556447505950928,-3.8564229011535645,-3.5500941276550293,-3.6920976638793945
