epoch,train_action_mse,validation_action_mse
1,0.016350702175787803,0.010645149275660515
2,0.008779683328118501,0.007153412792831659
3,0.006100807065593631,0.004779782611876726
4,0.004622166246256264,0.0039042532444000244
5,0.003971995002090358,0.0033766424749046564
6,0.003367601672041247,0.002758369781076908
7,0.002736572675420349,0.0021146582439541817
8,0.002036925849962045,0.0014603566378355026
9,0.0013948477576022783,0.0009869971545413136
10,0.0009609391330182329,0.0007215177174657583
11,0.0007205133474211679,0.0005977427354082465
12,0.0006175844227218171,0.0005087004974484444
13,0.0005101764409806768,0.0004850607365369797
14,0.0004570782854722641,0.00041508296271786094
15,0.00040038633171473443,0.00036562455352395773
16,0.0003646255434930407,0.00034417895949445665
17,0.00033411177840656273,0.0002978203701786697
18,0.0002937484054984402,0.00026506668655201793
19,0.0002623964659481853,0.000248138967435807
20,0.00023345615037539158,0.00021581676264759153
21,0.00020869302077880348,0.00020056952780578285
22,0.000192255827085096,0.00019133015302941203
23,0.00019135369367839932,0.00016351458907593042
24,0.00017039392271083595,0.00015055833500809968
25,0.00015234935598869696,0.000140257558086887
26,0.0001446205918045252,0.0001354650012217462
27,0.0001360030747259132,0.000129222113173455
28,0.00013561391549482316,0.00014547402679454535
29,0.00014039511137577958,0.00012335613428149372
30,0.0001236520168714735,0.00013961558579467237
31,0.00013885279267127453,0.00012169650290161371
32,0.00014819324080578508,0.00014991292846389115
33,0.00012893417098538198,0.00012827473983634263
34,0.0001229035554716888,0.00012000598508166149
35,0.00012160688826831344,0.00011393932800274342
36,0.0001171999043208689,0.00011329932749504223
37,0.00011568927768749797,0.00013017789751756936
38,0.00013581498500252073,0.00011375737813068554
39,0.0001279738975064393,0.00011416521010687575
40,0.0001140693948553296,0.00011302458733553067
41,0.00011787589175860304,0.00011679167801048607
42,0.00011768448788455787,0.00011771545541705564
43,0.0001149875491651461,0.00011276343138888478
44,0.00011536825024399858,0.00012162445636931807
45,0.00011513251739292487,0.00012257607886567712
46,0.000132672541551482,0.00011905354040209204
47,0.00011549578522055858,0.00011624459875747561
48,0.00011190278910864636,0.00011180562432855368
49,0.00011383091177088951,0.00012246584810782224
50,0.00011972233099187362,0.00013732259685639292
