epoch,train_total,train_reconstruction,train_reward,train_value,train_continuation,train_goal,train_kl,train_overshooting,validation_total,validation_reconstruction,validation_reward,validation_value,validation_continuation,validation_goal,validation_kl,validation_overshooting
1,1.7317413687705994,0.06985208058419327,0.3713594066600005,0.09009096678346395,0.6229966779549917,0.6907602449258169,0.5846039081613222,0.03266655467450619,1.3231966495513916,0.008882795460522175,0.3010934293270111,0.046360429376363754,0.5353732109069824,0.6909940242767334,0.6275315880775452,0.03440746292471886
2,1.2183252920707066,0.006338985539817561,0.2669706114878257,0.0370436132264634,0.5057909165819486,0.6894315506021181,0.5645537922779719,0.024845678359270096,1.024254560470581,0.006019927561283112,0.18821442127227783,0.03001193329691887,0.4501401484012604,0.6767257452011108,0.6430442333221436,0.04168924316763878
3,0.8929266432921091,0.005432067283739646,0.14303892540434995,0.027068873945002753,0.34501224259535473,0.6741596932212511,0.9246899237235388,0.07663250264401238,0.7422072291374207,0.004174643661826849,0.10389083623886108,0.02283889800310135,0.22904545068740845,0.665306568145752,0.8682231307029724,0.08475621044635773
4,0.6963182439406713,0.003733357172071313,0.10316961724311113,0.022498150821775198,0.1775727216154337,0.6418032695849737,0.7660237327218056,0.08291602258880933,0.6100813746452332,0.003394834464415908,0.08728925883769989,0.0186605304479599,0.12157180160284042,0.6047573685646057,0.6943448781967163,0.0877593383193016
5,0.5361585902671019,0.0033013363815067955,0.0987597896407048,0.020699143642559648,0.12545289813230434,0.38575100370993215,0.8470474829276403,0.10081534087657928,0.3707399070262909,0.0029671969823539257,0.09417851269245148,0.02008729986846447,0.11422870308160782,0.05814250931143761,1.08598792552948,0.12908999621868134
6,0.34850729381044704,0.002988629237127801,0.09959823576112588,0.019771347986534238,0.11632676360507806,0.02805908660714825,0.7662039597829183,0.10070462928464015,0.28561681509017944,0.002837980166077614,0.08407778292894363,0.016180042177438736,0.09433216601610184,0.015157269313931465,0.5886156558990479,0.08591760694980621
7,0.30445458367466927,0.0026792976908230535,0.09101707550386588,0.017884439788758755,0.10609788199265797,0.011150868299106756,0.5925958330432574,0.08243934934337933,0.2775329053401947,0.002495542401447892,0.08348308503627777,0.016762711107730865,0.08918032795190811,0.009682320058345795,0.582808792591095,0.07745615392923355
8,0.2939461153000593,0.002405420847935602,0.08850159837553899,0.017518589040264487,0.10382667432228725,0.0078064241679385304,0.5717508097489675,0.07803978646794955,0.2546035647392273,0.0022535412572324276,0.07583867758512497,0.014466485008597374,0.08602077513933182,0.005498763173818588,0.5679815411567688,0.07540261745452881
9,0.2794053206841151,0.002144170527268822,0.08410142144809167,0.016311007862289745,0.0990066093703111,0.005922753305640072,0.5679406300187111,0.07597246331473191,0.24682432413101196,0.0020459138322621584,0.0744936615228653,0.014295894652605057,0.08101898431777954,0.003324035555124283,0.5587385296821594,0.07294943928718567
10,0.2759025326619546,0.0019592861353885382,0.08356279507279396,0.01660063156547646,0.09776792675256729,0.0045396195782814175,0.5555385748545328,0.07367742030570905,0.23954236507415771,0.0017990923952311277,0.07130885124206543,0.014321505092084408,0.07968343794345856,0.0052639190107584,0.5531660914421082,0.07073893398046494
11,0.26397270771364373,0.0017062814634603758,0.07969434202338259,0.0154846297033752,0.09408714451516668,0.0034814191652306667,0.5560091982285181,0.07395809609442949,0.2307065725326538,0.0016211005859076977,0.06902109086513519,0.013248702511191368,0.07700450718402863,0.0023938987869769335,0.550761878490448,0.07315102219581604
12,0.258922865614295,0.0014989692717790604,0.07820878472800057,0.015148604405112565,0.09396993244687717,0.0017244550253963098,0.5504054228464762,0.07492313627153635,0.2286633998155594,0.0013801810564473271,0.06793732941150665,0.01324510294944048,0.07823691517114639,0.0014197026612237096,0.5550854802131653,0.07820512354373932
13,0.2552688556412856,0.0012959137044769402,0.07708475552499294,0.015292693783218661,0.09147224606325229,0.0024797668059666953,0.5437783921758333,0.07753987206767003,0.22373047471046448,0.0011961269192397594,0.06510325521230698,0.012853454798460007,0.07396254688501358,0.010076113045215607,0.5398407578468323,0.08070771396160126
14,0.25306815033157665,0.0011255126106940831,0.07613569373885791,0.015001804529068371,0.09126515360549092,0.002137945802436055,0.5473199660579363,0.08350871410220861,0.2168453335762024,0.0009915803093463182,0.06407808512449265,0.012929574586451054,0.07352505624294281,0.0006651564035564661,0.5459920167922974,0.08390152454376221
15,0.24297223053872585,0.0009164743581398701,0.0725186918862164,0.014642898691818118,0.08744472917169333,0.0006804967852076516,0.5474708850185076,0.09106365932772557,0.2061498612165451,0.0008432372123934329,0.059912994503974915,0.012289111502468586,0.06931817531585693,0.0007584287086501718,0.5425989627838135,0.09336797893047333
16,0.2347925336410602,0.0007805331309403604,0.068270873123159,0.013984804507344961,0.08313986596961816,0.00477410877647344,0.5528131276369095,0.10326737289627393,0.20373636484146118,0.0007051610737107694,0.05779726430773735,0.01229152176529169,0.0672144815325737,0.0005966686876490712,0.5666415095329285,0.11497180908918381
17,0.22602252413829169,0.0006810669947299175,0.06472047418355942,0.013423680871104201,0.07884546772887309,0.0006491380512064401,0.5664950162172318,0.13042638606081405,0.20361758768558502,0.0005833155009895563,0.056594520807266235,0.013353003188967705,0.06607548892498016,0.0003019561409018934,0.5669360756874084,0.13790059089660645
18,0.21408561679224172,0.0005712887189777879,0.0595252577525874,0.01292573152265201,0.07291662351538737,0.00037509390191795927,0.5655037934581438,0.15474456921219826,0.19345222413539886,0.000545464747119695,0.05217316746711731,0.01227407157421112,0.05799541622400284,0.0005182404420338571,0.5637466311454773,0.17751258611679077
19,0.19554641656577587,0.0005244787729073627,0.05092341390748819,0.011679960996843874,0.0625854645234843,0.0006443918221824182,0.56816649188598,0.20422937783102194,0.1698017120361328,0.0004800864262506366,0.041169069707393646,0.010112324729561806,0.04894573986530304,0.00042069697519764304,0.5670520067214966,0.2287517488002777
20,0.17891335487365723,0.0004602151008536263,0.043571543491755925,0.010705314576625824,0.052701746579259634,0.00041719674482010305,0.5563056195775667,0.2530955442537864,0.15782983601093292,0.00042884223512373865,0.03590327873826027,0.009326977655291557,0.0426379069685936,0.00024699888308532536,0.5440803170204163,0.2676329016685486
21,0.16408816973368326,0.0004099092851295912,0.03741662328441938,0.009876165733051797,0.0444936411610494,0.00025520812353837147,0.5402585739890734,0.2876167483627796,0.14845766127109528,0.0003781048581004143,0.031323179602622986,0.008667133748531342,0.03883586823940277,0.0001766459026839584,0.535716712474823,0.29717764258384705
22,0.1551129575818777,0.00038114144990686327,0.033249430979291596,0.009477309164746353,0.04005530484331151,0.00034872842206823407,0.5351797466476759,0.3103235612312953,0.1488964557647705,0.0003710641758516431,0.03119751065969467,0.008290098048746586,0.042492713779211044,0.0001755359407979995,0.5312891006469727,0.2919955849647522
23,0.1399473063647747,0.0003535423808595321,0.028769819298759103,0.008757112392534813,0.03266932054733237,0.000420722305837747,0.5302473977208138,0.295325377335151,0.13499784469604492,0.0003314433270134032,0.027196893468499184,0.007960132323205471,0.03106280416250229,0.00010526298137847334,0.5283677577972412,0.29647165536880493
24,0.12912365638961396,0.00032075168504282675,0.02497959532774985,0.00818138821826627,0.02725008673345049,0.00047522785750212887,0.5293817147612572,0.296890785296758,0.12773634493350983,0.00030211714329198003,0.02458268776535988,0.008491812273859978,0.02584168314933777,0.0001810682297218591,0.5296279788017273,0.2968003451824188
25,0.12469659900913636,0.0003202915819808065,0.023251385777257383,0.008216018206439912,0.02374042454175651,0.0031891741108059555,0.5297949959834417,0.29062384615341824,0.11816886812448502,0.00031711230985820293,0.0216045081615448,0.007380537688732147,0.02500852942466736,3.908693906851113e-05,0.5291513204574585,0.2764659523963928
26,0.11532355627665918,0.0003044796006482405,0.020944885599116485,0.007714822189882398,0.020422009091513853,2.580454421755955e-05,0.5322593674063683,0.27968647206823033,0.107877716422081,0.00027779839001595974,0.01799524948000908,0.006647929549217224,0.019471129402518272,2.7426454835222103e-05,0.5324379205703735,0.28034713864326477
27,0.10500165230284135,0.00027108894573757425,0.017276445442500215,0.006996788938219349,0.016631292761303484,3.34629498108067e-05,0.5305834040045738,0.27777156233787537,0.1020512506365776,0.00025837714201770723,0.016182756051421165,0.006347120739519596,0.016631493344902992,2.5189629013766535e-05,0.5292891263961792,0.27770689129829407
28,0.10007118557890256,0.00026078394027232815,0.015942380763590336,0.00672431307611987,0.013404698809608817,0.00015010274243347035,0.5269528403878212,0.2755471542477608,0.09620235115289688,0.0002523957227822393,0.014430904760956764,0.006344585679471493,0.012604176066815853,3.0097467970335856e-05,0.5256295204162598,0.2764015793800354
29,0.09675498741368453,0.0002569434303344072,0.015133261952238778,0.006687032446886103,0.010094248359867683,2.5270721910904587e-05,0.525267206132412,0.277074808254838,0.09200726449489594,0.00024530067457817495,0.013497523963451385,0.005842250771820545,0.010192668065428734,2.9161183192627504e-05,0.5202628970146179,0.2731000483036041
30,0.09116726989547412,0.00024860111746723607,0.013532119259859124,0.006355844942542414,0.0073015527935543405,6.777727374659055e-05,0.5189839179317156,0.2736752151201169,0.08608534187078476,0.00024169897369574755,0.011788340285420418,0.0055178748443722725,0.005847701337188482,3.527909575495869e-05,0.5172364115715027,0.2746237814426422
31,0.08647867540518443,0.00024303606854421864,0.011954018574518463,0.0061355312742913766,0.004783195521061619,6.74399515598149e-05,0.5153034354249636,0.2751550866911809,0.08188783377408981,0.00023240872542373836,0.010044751688838005,0.00521873077377677,0.004411910194903612,0.00010928953997790813,0.5141355991363525,0.2791499197483063
32,0.0819897788266341,0.0002341441807705754,0.010322580327435086,0.005826361118427788,0.0031118322270534313,0.0002393423825803135,0.5115686183174452,0.2756180514891942,0.07817184925079346,0.000224395640543662,0.009036851115524769,0.00534636527299881,0.002937817946076393,0.00011626491323113441,0.5090923309326172,0.27096930146217346
33,0.07874888243774573,0.00022515103531380495,0.009705834711591402,0.005622660828521475,0.002353558607865125,9.474703036479089e-05,0.5069072147210439,0.26469583871463936,0.07552288472652435,0.0002173144166590646,0.00858292169868946,0.004958743695169687,0.002377893077209592,0.00011389370047254488,0.5053255558013916,0.26234182715415955
34,0.076968046836555,0.0002188884773204336,0.00904956522087256,0.005675114361414065,0.0016628583301402007,0.0001616336997661468,0.5049345915516218,0.2637816114972035,0.07313741743564606,0.00021230721904430538,0.007799685932695866,0.0050370171666145325,0.0016988947754725814,0.00014054942585062236,0.5034818053245544,0.25770288705825806
35,0.07484016101807356,0.00021296627771031731,0.008543961506802589,0.005580754882733648,0.0011941824535218377,0.00013396852515749438,0.503795400261879,0.2567873739947875,0.07288536429405212,0.00020661897724494338,0.007991471327841282,0.00495894206687808,0.0014096194645389915,0.00013076953473500907,0.5037509202957153,0.25365883111953735
36,0.07261600500593583,0.00020676488929893821,0.008023032491716245,0.005227751292598744,0.0009652206135797314,0.00014587390372374406,0.5034690151611964,0.24992895064254603,0.06839524209499359,0.00019801904272753745,0.006734025198966265,0.004386114422231913,0.0009813508950173855,0.00011694594286382198,0.5029687285423279,0.2424943447113037
37,0.07034607262661059,0.0001994881113205338,0.007371083988497655,0.005029001544850568,0.0007305524607848687,0.0001306561400724604,0.5030572017033895,0.24392973942061266,0.06694565713405609,0.00019165345293004066,0.0063849082216620445,0.004448182415217161,0.0007873557042330503,0.00012986462388653308,0.5028526186943054,0.23551452159881592
38,0.06899030071993668,0.00019486035489535425,0.007118613614390294,0.005057833671647434,0.0006274612569541205,0.00010643911241459136,0.5028533761699995,0.23601039002339044,0.06703519076108932,0.0001860213524196297,0.006927491165697575,0.0041437093168497086,0.0007350305677391589,8.034439088078216e-05,0.5032021999359131,0.2291063815355301
39,0.06732150632888079,0.00018660424787716087,0.0068462292741363244,0.004837415617657825,0.0005182687685495088,8.063309534615352e-05,0.5025558670361837,0.22804573737084866,0.06515427678823471,0.00017872113676276058,0.006416601128876209,0.004426801111549139,0.00061229825951159,7.505075336666778e-05,0.5022099614143372,0.21903939545154572
40,0.06719862436875701,0.0001814741081034299,0.007167875669741382,0.004921224385422344,0.00047300585720222443,8.574052397610406e-05,0.5022797361016273,0.22003865242004395,0.0625646710395813,0.0001748404756654054,0.005725006572902203,0.004169862251728773,0.00045549150672741234,7.243934669531882e-05,0.5020325779914856,0.2105468064546585
41,0.06393591050679485,0.0001746295444415106,0.006136424063394467,0.004640627070330083,0.0003733028218751618,8.653984680980405e-05,0.5019118636846542,0.21173030386368433,0.060544535517692566,0.0001692777150310576,0.005215949844568968,0.0038975649513304234,0.0003727307775989175,5.8419689594302326e-05,0.501799464225769,0.20401684939861298
42,0.06263408903032541,0.0001686227312044745,0.005915759548467274,0.004540806170552969,0.0003300817594814968,6.972088400895397e-05,0.501607192059358,0.20475633504490057,0.059761010110378265,0.00016146581037901342,0.0053102485835552216,0.003942384384572506,0.00033978233113884926,6.33115996606648e-05,0.5013243556022644,0.1944596767425537
43,0.06173802694926659,0.0001612246420942635,0.005792197790772964,0.004434569496273373,0.00029797696030679316,6.646150950473384e-05,0.5013862897952398,0.19983853275577226,0.058631278574466705,0.00015424552839249372,0.005180682055652142,0.0037655350752174854,0.00028063563513569534,7.169978925958276e-05,0.5012979507446289,0.18800576031208038
44,0.060065608005970716,0.00015610359181058206,0.005435705272248015,0.0042393630428705364,0.0002625946714639819,7.987682321678828e-05,0.5013736262917519,0.19246605473260084,0.05760383605957031,0.00015112334222067147,0.0048893652856349945,0.0037348223850131035,0.00025710713816806674,5.245202191872522e-05,0.5011639595031738,0.18423935770988464
45,0.05917033040896058,0.0001514446324411741,0.005255248678925757,0.004146941627065341,0.00023107792609759295,5.8891912582718455e-05,0.5012810329596201,0.18849520136912665,0.056093037128448486,0.00014485428982879966,0.004600766114890575,0.003552769310772419,0.00022178934887051582,5.51128396182321e-05,0.501226007938385,0.17704422771930695
46,0.058725752557317414,0.00014443195201844597,0.005278267034251864,0.0042441537079866976,0.000212453942973904,5.93135612992531e-05,0.5011994118491808,0.182959142451485,0.05607747659087181,0.0001376487489324063,0.004610003437846899,0.004032460041344166,0.00020705064525827765,4.669100235332735e-05,0.5009580254554749,0.17237290740013123
47,0.058392595034092665,0.0001385034435467484,0.005436604803738494,0.00415583309950307,0.00020191211933706654,7.726841658950434e-05,0.5012032141288122,0.17748289865752062,0.05655786022543907,0.00013344701437745243,0.005353110376745462,0.0037092389538884163,0.0002222479961346835,4.152503970544785e-05,0.5011189579963684,0.16554224491119385
48,0.057237204940368734,0.00013135868660659375,0.005217858464069043,0.003995435690740123,0.00018232038261582298,4.964954822147168e-05,0.5011339063445727,0.17239294635752836,0.054454293102025986,0.00012846628669649363,0.004726169165223837,0.003332460531964898,0.00019018359307665378,4.0029673982644454e-05,0.5011422038078308,0.1611187607049942
49,0.05648910952731967,0.00012756949308823096,0.005200385795130084,0.003951962823824336,0.00018238968702159278,4.7480145061247946e-05,0.5010586579640707,0.16585798685749373,0.05258312448859215,0.00012100356980226934,0.004201074130833149,0.003280770033597946,0.00015193334547802806,4.069509304827079e-05,0.5010114312171936,0.15390309691429138
50,0.05510707044353088,0.00011996428990338852,0.004762644627286742,0.0037828173323456817,0.00015634783479375378,6.763459941794281e-05,0.5011516461769739,0.16269496828317642,0.05180138722062111,0.00011649636144284159,0.004062206484377384,0.0032086814753711224,0.0001531180605525151,4.3210387957515195e-05,0.5009586215019226,0.14972707629203796
51,0.05423963054393729,0.00011460662729708322,0.004632065683836117,0.003664181635637457,0.00015442191094431715,7.218965803682902e-05,0.5009789516528448,0.15805243700742722,0.05184107646346092,0.00011093539069406688,0.004237168934196234,0.0030903457663953304,0.00012123361375415698,3.806427412200719e-05,0.5008581280708313,0.1482103019952774
52,0.05339120142161846,0.00011197494920149136,0.004416549685023104,0.0035543343401513994,0.00013564784330810653,9.061666310117289e-05,0.5009120553731918,0.15509107367446026,0.05017572268843651,0.00010699097765609622,0.003694162704050541,0.0030219005420804024,0.0001338588772341609,3.206433029845357e-05,0.5008811950683594,0.14317500591278076
53,0.05350699803481499,0.00010558492613199633,0.004594563807283218,0.0036581128709561503,0.00013426633146688496,4.320069259241185e-05,0.5008349741498629,0.1521251918748021,0.05065126344561577,0.00010106035915669054,0.004007766023278236,0.0032661939039826393,0.00011387694394215941,3.249018845963292e-05,0.5009304285049438,0.1394665241241455
54,0.05239403915281097,0.00010028594927765273,0.004315545190668975,0.0034712993656285107,0.0001208889949945539,4.2942562913594884e-05,0.5008597299456596,0.14865888437877098,0.048742201179265976,9.504002082394436e-05,0.003427972551435232,0.0028846811037510633,0.00011400315270293504,4.1501793020870537e-05,0.500809907913208,0.13598208129405975
55,0.05109239757681886,9.59350594105975e-05,0.003954266052460298,0.0032820959410552555,0.00011879622737372604,7.851293359332583e-05,0.5007524068156878,0.14477688167244196,0.04893888533115387,9.150178811978549e-05,0.003592283930629492,0.00285637890920043,9.948047954821959e-05,3.531052061589435e-05,0.5007697939872742,0.13517546653747559
56,0.050507093934963145,9.11965104630023e-05,0.0038220851468698433,0.003170840602251701,0.00010653021915156084,4.3786538450755565e-05,0.5007366140683492,0.14306503782669702,0.047931522130966187,8.776984759606421e-05,0.003241808619350195,0.002800059039145708,0.00010533684690017253,3.607560211094096e-05,0.5006874203681946,0.13279461860656738
57,0.05034671382357677,8.694710716857419e-05,0.0038640517741441727,0.0031382233719341457,0.00010117965166500653,8.123642290532491e-05,0.5007428998748461,0.14091191937526068,0.048720378428697586,8.38519335957244e-05,0.0036847302690148354,0.002837216015905142,0.00011162293230881914,3.571367051335983e-05,0.5006292462348938,0.13157014548778534
58,0.049601580326755844,8.453667578578461e-05,0.003643875999841839,0.003070170758292079,9.851075355982175e-05,3.9715976072329795e-05,0.5007075046499571,0.1388555821031332,0.04830002039670944,8.366601832676679e-05,0.0033747595734894276,0.00288951862603426,0.00011302153870929033,3.4878816222772e-05,0.5006910562515259,0.13301485776901245
59,0.049381217919290066,8.062557602291538e-05,0.003654563498760884,0.003006896721975257,9.155863199339365e-05,7.60016768405573e-05,0.5006863077481588,0.1370522122209271,0.04848063737154007,7.729286153335124e-05,0.003942420706152916,0.0025964947417378426,0.00011991860810667276,3.395490784896538e-05,0.5006078481674194,0.1266009509563446
60,0.04884410866846641,7.866720261517912e-05,0.0035686130674245455,0.0029115793246698254,9.425724041041879e-05,4.618392737635683e-05,0.5006537660956383,0.1345639188463489,0.046499401330947876,7.44887875043787e-05,0.00310127018019557,0.002483695512637496,7.672514766454697e-05,3.599422052502632e-05,0.5007117986679077,0.1249774694442749
